"","a99","gameVersion","a11","kills","deaths","assists","totalDamageDealt","visionScore","totalDamageTaken","goldEarned","visionWardsBoughtInGame","a9","lll"
"215",4666479922,"10.19.336.4199",350,0,1,26,24315,86,6067,9661,0,TRUE,"SUP"
"216",4666510914,"10.19.336.4199",81,13,6,17,146770,11,20853,15179,2,TRUE,"BOT_CARRY"
"217",4666510914,"10.19.336.4199",555,5,8,14,22436,82,17921,10222,9,TRUE,"SUP"
"218",4666513617,"10.19.336.4199",21,11,2,8,135793,14,12194,12157,2,TRUE,"BOT_CARRY"
"219",4666513617,"10.19.336.4199",875,2,2,10,36116,23,13631,7330,2,TRUE,"SUP"
"220",4666547568,"10.19.336.4199",80,3,8,15,22655,42,13265,6520,8,TRUE,"SUP"
"221",4666547568,"10.19.336.4199",42,10,7,6,116024,9,17880,11284,1,TRUE,"BOT_CARRY"
"222",4666578437,"10.19.336.4199",21,3,3,8,126299,20,15377,9878,4,TRUE,"BOT_CARRY"
"223",4666578437,"10.19.336.4199",350,1,0,17,9854,41,3534,6400,6,TRUE,"SUP"
"224",4666668403,"10.19.336.4199",119,11,1,5,165009,30,13889,14460,4,TRUE,"BOT_CARRY"
"225",4666668403,"10.19.336.4199",412,1,0,18,23471,52,11091,6850,10,TRUE,"SUP"
"226",4666669209,"10.19.336.4199",202,12,5,17,260129,19,13936,16757,2,TRUE,"BOT_CARRY"
"227",4666669209,"10.19.336.4199",80,7,8,21,55858,85,20987,10719,10,TRUE,"SUP"
"228",4666691028,"10.19.336.4199",497,0,2,16,19215,93,12582,7884,18,TRUE,"SUP"
"229",4666691028,"10.19.336.4199",777,4,3,6,193431,30,17335,13192,3,TRUE,"BOT_CARRY"
"230",4666996299,"10.19.336.4199",21,4,3,4,130079,20,11275,9889,4,TRUE,"BOT_CARRY"
"231",4666996299,"10.19.336.4199",432,4,5,6,16776,54,10649,6991,5,TRUE,"SUP"
"232",4667183068,"10.19.336.4199",22,7,7,9,77730,10,17058,9320,1,TRUE,"BOT_CARRY"
"233",4667183068,"10.19.336.4199",432,3,6,12,20271,51,13536,6678,6,TRUE,"SUP"
"234",4667223879,"10.19.336.4199",235,1,5,14,28373,55,13780,7507,9,TRUE,"SUP"
"235",4667223879,"10.19.336.4199",74,6,4,5,125661,13,8177,10569,3,TRUE,"BOT_CARRY"
"236",4667475507,"10.19.336.4199",432,1,1,19,28725,90,11983,8103,7,TRUE,"SUP"
"237",4667475507,"10.19.336.4199",51,3,4,7,150950,37,14045,11642,4,TRUE,"BOT_CARRY"
"238",4667903033,"10.19.336.4199",555,9,6,6,23032,82,19917,11919,4,TRUE,"SUP"
"239",4667903033,"10.19.336.4199",202,8,2,9,173237,9,12470,13721,2,TRUE,"BOT_CARRY"
"240",4668232115,"10.19.336.4199",360,14,6,9,248401,25,27163,19150,4,TRUE,"BOT_CARRY"
"241",4668232115,"10.19.336.4199",98,2,9,16,24510,92,24193,9377,14,TRUE,"SUP"
"242",4668880294,"10.19.336.4199",427,0,2,16,21844,43,9937,7945,1,TRUE,"SUP"
"243",4668880294,"10.19.336.4199",777,10,6,5,136680,30,18000,12291,5,TRUE,"BOT_CARRY"
"244",4669180388,"10.19.336.4199",89,3,7,22,29953,101,27252,9998,16,TRUE,"SUP"
"245",4670285248,"10.19.336.4199",202,3,3,9,261507,31,14013,15459,4,TRUE,"BOT_CARRY"
"246",4670285248,"10.19.336.4199",412,0,6,11,19618,82,14335,7547,16,TRUE,"SUP"
"247",4671763242,"10.19.336.4199",22,7,3,10,128972,13,11692,11694,1,TRUE,"BOT_CARRY"
"248",4671763242,"10.19.336.4199",117,5,3,13,19965,40,5994,7912,10,TRUE,"SUP"
"249",4671903489,"10.19.336.4199",202,6,3,10,229181,21,19141,15066,4,TRUE,"BOT_CARRY"
"250",4671903489,"10.19.336.4199",40,3,4,13,23501,120,15613,8951,8,TRUE,"SUP"
"251",4672491170,"10.19.336.4199",432,1,6,18,21021,55,13673,7596,9,TRUE,"SUP"
"252",4672491170,"10.19.336.4199",360,8,1,9,115334,27,13576,11560,3,TRUE,"BOT_CARRY"
"253",4673361764,"10.19.336.4199",51,6,5,12,89108,16,14807,10824,2,TRUE,"BOT_CARRY"
"254",4673361764,"10.19.336.4199",555,5,8,19,17464,27,16049,8555,6,TRUE,"SUP"
"255",4673521093,"10.19.336.4199",81,4,1,12,103131,23,11018,9869,3,TRUE,"BOT_CARRY"
"256",4673521093,"10.19.336.4199",432,2,3,16,23540,54,9600,6759,11,TRUE,"SUP"
"257",4674234858,"10.19.336.4199",202,10,2,10,129427,34,10893,12322,3,TRUE,"BOT_CARRY"
"258",4674234858,"10.19.336.4199",432,2,3,20,20691,73,11019,7150,9,TRUE,"SUP"
"259",4674831577,"10.19.336.4199",89,1,4,8,21210,47,13178,7200,9,TRUE,"SUP"
"260",4674863257,"10.19.336.4199",25,0,9,19,18901,83,16308,8051,12,TRUE,"SUP"
